Centroid_1,Centroid_2,Centroid_3
1,81,2
1,169,2
1,257,2
1,344,2
1,432,2
1,520,2
81,602,2
83,4.5,2
86.7,17.1,2
89.7142857142857,3.5,2
92.7692307692308,16.4615384615385,2
95.6666666666667,3.5,2
97,16,2
97,21,2
104.323529411765,17.5882352941176,2
101.6875,3.625,2
106,3.5,2
112.692307692308,3.38461538461538,2.15384615384615
112,16,2
112,21,2
116.942307692308,17.75,1.98076923076923
117,3.5,2
122,3.04545454545455,2
122.71875,17.515625,1.9375
128.75,3.375,2
169,602,2
257,602,2
345,602,2
432,602,2
520,602,2
597.018518518518,228.981481481481,1.83333333333333
608,602,2
638.943449575872,173.310084825636,2.47596606974552
635,196.012195121951,2.35365853658537
650.987179487179,193.935897435897,2.42307692307692
