Centroid_1,Centroid_2,Centroid_3
1,81,2
1,169,2
1,257,2
1,344,2
1,432,2
1,520,2
81,602,2
83,4.5,2
86.7,17.1,2
89.7142857142857,3.5,2
92.7692307692308,16.4615384615385,2
95.6666666666667,3.5,2
97,16,2
97,21,2
104.323529411765,17.5882352941176,2
101.6875,3.625,2
106,3.5,2
112.692307692308,3.38461538461538,2.15384615384615
112,16,2
112,21,2
116.826086956522,17.7608695652174,2.02173913043478
117,3.5,2
122,3.04545454545455,2
122.647058823529,17.7647058823529,2
128.75,3.375,2
169,602,2
257,602,2
345,602,2
432,602,2
488.018518518519,226.111111111111,1.83333333333333
520,602,2
608,602,2
620.006329113924,178.449367088608,2.40506329113924
634.604904632153,167.764305177112,2.47138964577657
626.948717948718,185.064102564103,2.42307692307692
631,261.819277108434,2.33734939759036
638.63768115942,300.065217391304,2.41304347826087
646.572413793103,192.850574712644,2.44827586206897
640.987951807229,277.048192771084,2.33734939759036
644.101265822785,284.987341772152,2.40506329113924
648.505263157895,315.936842105263,2.38947368421053
659.411458333333,214.614583333333,2.390625
660.921161825726,205.385892116183,2.43153526970954
661.545454545455,245.942148760331,2.43801652892562
