Centroid_1,Centroid_2,Centroid_3
1,81,2
1,169,2
1,257,2
1,344,2
1,432,2
1,520,2
81,602,2
83,4.5,2
86.7,17.1,2
89.7142857142857,3.5,2
92.7692307692308,16.4615384615385,2
95.6666666666667,3.5,2
97,16,2
97,21,2
104.323529411765,17.5882352941176,2
101.6875,3.625,2
106,3.5,2
112.72,3.4,2.2
112,16,2
112,21,2
116.722222222222,17.6666666666667,2
117,3.5,2
122,3.04545454545455,2
122.666666666667,17.6190476190476,2
128.75,3.375,2
169,602,2
257,602,2
345,602,2
432,602,2
464.018181818182,217.018181818182,1.85454545454545
520,602,2
608,602,2
620.03164556962,178.424050632911,2.40506329113924
634.830985915493,167.976056338028,2.46619718309859
626.948717948718,185.064102564103,2.42307692307692
630.97619047619,261.059523809524,2.32142857142857
638.094674556213,301.420118343195,2.43786982248521
646.578181818182,196.92,2.46181818181818
641.024390243902,277.036585365854,2.35365853658537
644,185.302158273381,2.40287769784173
644.0625,284.9875,2.3875
649.02752293578,318.128440366972,2.40366972477064
660.165841584158,210.517326732673,2.43316831683168
661.545454545455,245.942148760331,2.43801652892562
