Centroid_1,Centroid_2,Centroid_3
1,81,2
1,169,2
1,257,2
1,344,2
1,432,2
1,520,2
81,602,2
83,4.5,2
86.7,17.1,2
89.7142857142857,3.5,2
92.7692307692308,16.4615384615385,2
95.6666666666667,3.5,2
97,16,2
97,21,2
101.618181818182,17.5818181818182,1.98181818181818
101.6875,3.625,2
106,3.5,2
107.7,17.1,2
112.692307692308,3.38461538461538,2.15384615384615
112,16,2
112,21,2
116.2,15.5,2
116.2,20.8,2
117,3.5,2
118.5,19,2
122,3.04545454545455,2
122.648648648649,16.5945945945946,1.97297297297297
128.75,3.375,2
169,602,2
257,602,2
299,192,1.83333333333333
345,602,2
432,602,2
520,602,2
608,602,2
616.139240506329,195.987341772152,2.40506329113924
622.949367088608,178.025316455696,2.40506329113924
634.118644067797,171.115562403698,2.45608628659476
628.987804878049,261.048780487805,2.35365853658537
629.064102564103,187.961538461538,2.42307692307692
640.342541436464,302.939226519337,2.42541436464088
647.35881104034,196.309978768578,2.45859872611465
642.942675159236,279.471337579618,2.4140127388535
649.02752293578,318.128440366972,2.40366972477064
658.850993377483,215.894039735099,2.44039735099338
657.890756302521,250.857142857143,2.38655462184874
659.101265822785,236.101265822785,2.40506329113924
