Centroid_1,Centroid_2,Centroid_3
1,81,2
1,169,2
1,257,2
1,344,2
1,432,2
1,520,2
81,602,2
83,4.5,2
86.7,17.1,2
89.7142857142857,3.5,2
92.7692307692308,16.4615384615385,2
95.6666666666667,3.5,2
97,16,2
97,21,2
104.323529411765,17.5882352941176,2
101.6875,3.625,2
106,3.5,2
112.692307692308,3.38461538461538,2.15384615384615
112,16,2
112,21,2
119.870689655172,17.4310344827586,2
117,3.5,2
122,3.04545454545455,2
128.75,3.375,2
169,602,2
257,602,2
309.961538461538,200.038461538462,1.78846153846154
345,602,2
432,602,2
520,602,2
608,602,2
618,189.0625,2.3875
622.923076923077,178,2.42307692307692
626.948717948718,185.064102564103,2.42307692307692
628.987804878049,261.048780487805,2.35365853658537
633.006655574043,166.219633943428,2.47753743760399
639.393805309734,303.274336283186,2.42035398230089
647.506389776358,195.190095846645,2.46645367412141
642.942675159236,279.471337579618,2.4140127388535
649.02752293578,318.128440366972,2.40366972477064
659.800664451827,217.468438538206,2.46511627906977
658.484375,249.8828125,2.359375
