"","X","Centroid_1","Centroid_2","Centroid_3","Time"
"1",1,1,81,2,11
"2",2,1,169,2,11
"3",3,1,257,2,11
"4",4,1,344,2,11
"5",5,1,432,2,11
"6",6,1,520,2,11
"7",7,81,602,2,11
"8",8,83,4.5,2,11
"9",9,86.7,17.1,2,11
"10",10,89.7142857142857,3.5,2,11
"11",11,92.7692307692308,16.4615384615385,2,11
"12",12,95.6666666666667,3.5,2,11
"13",13,97,16,2,11
"14",14,97,21,2,11
"15",15,101.6875,3.625,2,11
"16",16,101.7,17.1,2,11
"17",17,106,3.5,2,11
"18",18,108.089285714286,17.6607142857143,1.98214285714286,11
"19",19,112.692307692308,3.38461538461538,2.15384615384615,11
"20",20,112,16,2,11
"21",21,112,21,2,11
"22",22,116.8,17.7333333333333,2,11
"23",23,117,3.5,2,11
"24",24,122,3.04545454545455,2,11
"25",25,122.583333333333,16.6666666666667,2,11
"26",26,128.75,3.375,2,11
"27",27,169,602,2,11
"28",28,257,602,2,11
"29",29,261.962264150943,304,1.81132075471698,11
"30",30,345,602,2,11
"31",31,401.87898089172,75.1910828025478,2.47133757961783,11
"32",32,404.075,88.0125,2.3875,11
"33",33,423.211517165006,125.52380952381,2.45182724252492,11
"34",34,414.086419753086,105.975308641975,2.37037037037037,11
"35",35,433.956896551724,142.112068965517,2.42241379310345,11
"36",36,432,602,2,11
"37",37,453.160401002506,232.298245614035,2.46616541353383,11
"38",38,450.9,191.0375,2.3875,11
"39",39,451.973214285714,200.5,2.39285714285714,11
"40",40,520,602,2,11
"41",41,608,602,2,11
