"","X","Centroid_1","Centroid_2","Centroid_3","Time"
"1",1,1,81,2,50
"2",2,1,169,2,50
"3",3,1,257,2,50
"4",4,1,344,2,50
"5",5,1,432,2,50
"6",6,1,520,2,50
"7",7,81,602,2,50
"8",8,83,4.5,2,50
"9",9,86.7,17.1,2,50
"10",10,89.7142857142857,3.5,2,50
"11",11,92.7692307692308,16.4615384615385,2,50
"12",12,95.6666666666667,3.5,2,50
"13",13,97,16,2,50
"14",14,97,21,2,50
"15",15,101.6875,3.625,2,50
"16",16,101.7,17.1,2,50
"17",17,106,3.5,2,50
"18",18,107.5,15.8823529411765,1.97058823529412,50
"19",19,107.2,20.8,2,50
"20",20,112.692307692308,3.38461538461538,2.15384615384615,50
"21",21,112,16,2,50
"22",22,112,21,2,50
"23",23,116.7,17.1,2,50
"24",24,117,3.5,2,50
"25",25,122,3.04545454545455,2,50
"26",26,122.205882352941,17.2941176470588,2.01470588235294,50
"27",27,128.75,3.375,2,50
"28",28,169,602,2,50
"29",29,257,602,2,50
"30",30,345,602,2,50
"31",31,411.925,77.0125,2.3875,50
"32",32,445.168112798265,81.9327548806941,2.470715835141,50
"33",33,432,602,2,50
"34",34,441.987341772152,95.126582278481,2.40506329113924,50
"35",35,453.468292682927,134.168292682927,2.44878048780488,50
"36",36,451.712121212121,116.405303030303,2.44318181818182,50
"37",37,453.927927927928,102.531531531532,2.40540540540541,50
"38",38,459.037735849057,167,1.81132075471698,50
"39",39,461.989690721649,71.4226804123711,2.36082474226804,50
"40",40,462.088607594937,143.063291139241,2.40506329113924,50
"41",41,520,602,2,50
"42",42,608,602,2,50
