"","X","Centroid_1","Centroid_2","Centroid_3","Time"
"1",1,1,81,2,96
"2",2,1,169,2,96
"3",3,1,257,2,96
"4",4,1,344,2,96
"5",5,1,432,2,96
"6",6,1,520,2,96
"7",7,81,602,2,96
"8",8,83,4.5,2,96
"9",9,86.7,17.1,2,96
"10",10,89.7142857142857,3.5,2,96
"11",11,92.7692307692308,16.4615384615385,2,96
"12",12,95.6666666666667,3.5,2,96
"13",13,97,16,2,96
"14",14,97,21,2,96
"15",15,101.6875,3.625,2,96
"16",16,101.7,17.1,2,96
"17",17,107.272727272727,17.2727272727273,2,96
"18",18,106,3.5,2,96
"19",19,112.692307692308,3.38461538461538,2.15384615384615,96
"20",20,112,16,2,96
"21",21,112,21,2,96
"22",22,116.5,17.5,2,96
"23",23,117,3.5,2,96
"24",24,122,3.04545454545455,2,96
"25",25,122.653846153846,17.6346153846154,1.96153846153846,96
"26",26,128.75,3.375,2,96
"27",27,169,602,2,96
"28",28,257,602,2,96
"29",29,345,602,2,96
"30",30,376.997240110396,164.867525298988,2.43698252069917,96
"31",31,367.095238095238,134.988095238095,2.32142857142857,96
"32",32,432,602,2,96
"33",33,520,602,2,96
"34",34,608,602,2,96
