"","X","Centroid_1","Centroid_2","Centroid_3","Time"
"1",1,1,81,2,61
"2",2,1,169,2,61
"3",3,1,257,2,61
"4",4,1,344,2,61
"5",5,1,432,2,61
"6",6,1,520,2,61
"7",7,81,602,2,61
"8",8,83,4.5,2,61
"9",9,86.7,17.1,2,61
"10",10,89.7142857142857,3.5,2,61
"11",11,92.7692307692308,16.4615384615385,2,61
"12",12,95.6666666666667,3.5,2,61
"13",13,97,16,2,61
"14",14,97,21,2,61
"15",15,101.6875,3.625,2,61
"16",16,101.7,17.1,2,61
"17",17,106,3.5,2,61
"18",18,107.5,15.8823529411765,1.97058823529412,61
"19",19,107.2,20.8,2,61
"20",20,112.692307692308,3.38461538461538,2.15384615384615,61
"21",21,112,16,2,61
"22",22,112,21,2,61
"23",23,116.673076923077,17.7307692307692,2.01923076923077,61
"24",24,117,3.5,2,61
"25",25,122,3.04545454545455,2,61
"26",26,122.648648648649,16.5945945945946,1.97297297297297,61
"27",27,128.75,3.375,2,61
"28",28,169,602,2,61
"29",29,257,602,2,61
"30",30,345,602,2,61
"31",31,432,602,2,61
"32",32,437.012658227848,67.0632911392405,2.40506329113924,61
"33",33,472.465671641791,60.4228855721393,2.47761194029851,61
"34",34,488,68.0377358490566,1.81132075471698,61
"35",35,520,602,2,61
"36",36,608,602,2,61
