"","X","Centroid_1","Centroid_2","Centroid_3","Time"
"1",1,1,81,2,160
"2",2,1,169,2,160
"3",3,1,257,2,160
"4",4,1,344,2,160
"5",5,1,432,2,160
"6",6,1,520,2,160
"7",7,81,602,2,160
"8",8,83,4.5,2,160
"9",9,86.7,17.1,2,160
"10",10,89.7142857142857,3.5,2,160
"11",11,92.7692307692308,16.4615384615385,2,160
"12",12,95.6666666666667,3.5,2,160
"13",13,97,16,2,160
"14",14,97,21,2,160
"15",15,101.6875,3.625,2,160
"16",16,101.7,17.1,2,160
"17",17,107.571428571429,16.2857142857143,2,160
"18",18,106,3.5,2,160
"19",19,112.692307692308,3.38461538461538,2.15384615384615,160
"20",20,112,16,2,160
"21",21,112,21,2,160
"22",22,119.870689655172,17.4310344827586,2,160
"23",23,117,3.5,2,160
"24",24,122,3.04545454545455,2,160
"25",25,128.75,3.375,2,160
"26",26,169,602,2,160
"27",27,257,602,2,160
"28",28,289.802096985583,288.600262123198,2.4259501965924,160
"29",29,345,602,2,160
"30",30,432,602,2,160
"31",31,520,602,2,160
"32",32,608,602,2,160
