"","X","Centroid_1","Centroid_2","Centroid_3","Time"
"1",1,1,81,2,6
"2",2,1,169,2,6
"3",3,1,257,2,6
"4",4,1,344,2,6
"5",5,1,432,2,6
"6",6,1,520,2,6
"7",7,81,602,2,6
"8",8,83,4.5,2,6
"9",9,86.7,17.1,2,6
"10",10,89.7142857142857,3.5,2,6
"11",11,92.7692307692308,16.4615384615385,2,6
"12",12,95.6666666666667,3.5,2,6
"13",13,97,16,2,6
"14",14,97,21,2,6
"15",15,101.6875,3.625,2,6
"16",16,101.7,17.1,2,6
"17",17,106,3.5,2,6
"18",18,108.089285714286,17.6607142857143,1.98214285714286,6
"19",19,112.692307692308,3.38461538461538,2.15384615384615,6
"20",20,112,16,2,6
"21",21,112,21,2,6
"22",22,116.826086956522,17.7608695652174,2.02173913043478,6
"23",23,117,3.5,2,6
"24",24,122,3.04545454545455,2,6
"25",25,122.647058823529,17.7647058823529,2,6
"26",26,128.75,3.375,2,6
"27",27,169,602,2,6
"28",28,251.962264150943,308,1.81132075471698,6
"29",29,257,602,2,6
"30",30,345,602,2,6
"31",31,402.178343949045,75.312101910828,2.45222929936306,6
"32",32,404.987654320988,97.9876543209877,2.37037037037037,6
"33",33,409.987654320988,125.098765432099,2.37037037037037,6
"34",34,419.319702602231,134.758364312268,2.46096654275093,6
"35",35,414.961538461538,110,2.42307692307692,6
"36",36,431.665427509294,118.449814126394,2.4275092936803,6
"37",37,434.025862068966,142.094827586207,2.42241379310345,6
"38",38,432,602,2,6
"39",39,452.781862745098,232.161764705882,2.46323529411765,6
"40",40,450.963414634146,199.036585365854,2.35365853658537,6
"41",41,453.424242424242,208.535353535354,2.39393939393939,6
"42",42,520,602,2,6
"43",43,608,602,2,6
