"","X","Centroid_1","Centroid_2","Centroid_3","Time"
"1",1,1,81,2,4
"2",2,1,169,2,4
"3",3,1,257,2,4
"4",4,1,344,2,4
"5",5,1,432,2,4
"6",6,1,520,2,4
"7",7,81,602,2,4
"8",8,83,4.5,2,4
"9",9,86.7,17.1,2,4
"10",10,89.7142857142857,3.5,2,4
"11",11,92.7692307692308,16.4615384615385,2,4
"12",12,95.6666666666667,3.5,2,4
"13",13,97,16,2,4
"14",14,97,21,2,4
"15",15,101.6875,3.625,2,4
"16",16,101.7,17.1,2,4
"17",17,106,3.5,2,4
"18",18,108.089285714286,17.6607142857143,1.98214285714286,4
"19",19,112.692307692308,3.38461538461538,2.15384615384615,4
"20",20,112,16,2,4
"21",21,112,21,2,4
"22",22,116.826086956522,17.7608695652174,2.02173913043478,4
"23",23,117,3.5,2,4
"24",24,122,3.04545454545455,2,4
"25",25,122.5,17.5,2,4
"26",26,128.75,3.375,2,4
"27",27,169,602,2,4
"28",28,249.055555555556,309.981481481481,1.83333333333333,4
"29",29,257,602,2,4
"30",30,345,602,2,4
"31",31,401.890410958904,75.5205479452055,2.47945205479452,4
"32",32,406,101.819277108434,2.33734939759036,4
"33",33,410,125.060975609756,2.35365853658537,4
"34",34,419.339253996448,135.470692717584,2.46536412078153,4
"35",35,415.074074074074,109.925925925926,2.37037037037037,4
"36",36,431.549586776859,119.355371900826,2.43801652892562,4
"37",37,433.956896551724,142.112068965517,2.42241379310345,4
"38",38,432,602,2,4
"39",39,452.928961748634,232.319672131148,2.45081967213115,4
"40",40,453.935185185185,211.546296296296,2.44444444444444,4
"41",41,452.038961038961,201.077922077922,2.44155844155844,4
"42",42,520,602,2,4
"43",43,608,602,2,4
