"","X","Centroid_1","Centroid_2","Centroid_3","Time"
"1",1,1,81,2,84
"2",2,1,169,2,84
"3",3,1,257,2,84
"4",4,1,344,2,84
"5",5,1,432,2,84
"6",6,1,520,2,84
"7",7,81,602,2,84
"8",8,83,4.5,2,84
"9",9,86.7,17.1,2,84
"10",10,89.7142857142857,3.5,2,84
"11",11,92.7692307692308,16.4615384615385,2,84
"12",12,95.6666666666667,3.5,2,84
"13",13,97,16,2,84
"14",14,97,21,2,84
"15",15,101.6875,3.625,2,84
"16",16,101.7,17.1,2,84
"17",17,106,3.5,2,84
"18",18,107.5,15.8823529411765,1.97058823529412,84
"19",19,107.2,20.8,2,84
"20",20,112.692307692308,3.38461538461538,2.15384615384615,84
"21",21,112,16,2,84
"22",22,112,21,2,84
"23",23,116.2,15.5,2,84
"24",24,116.2,20.8,2,84
"25",25,117,3.5,2,84
"26",26,118.5,19,2,84
"27",27,122,3.04545454545455,2,84
"28",28,122.5,17.5,2,84
"29",29,128.75,3.375,2,84
"30",30,169,602,2,84
"31",31,257,602,2,84
"32",32,345,602,2,84
"33",33,409.453196347032,131.736301369863,2.46917808219178,84
"34",34,415.962264150943,123,1.81132075471698,84
"35",35,432,602,2,84
"36",36,520,602,2,84
"37",37,608,602,2,84
