"","X","Centroid_1","Centroid_2","Centroid_3","Time"
"1",1,1,81,2,55
"2",2,1,169,2,55
"3",3,1,257,2,55
"4",4,1,344,2,55
"5",5,1,432,2,55
"6",6,1,520,2,55
"7",7,81,602,2,55
"8",8,83,4.5,2,55
"9",9,86.7,17.1,2,55
"10",10,89.7142857142857,3.5,2,55
"11",11,92.7692307692308,16.4615384615385,2,55
"12",12,95.6666666666667,3.5,2,55
"13",13,97,16,2,55
"14",14,97,21,2,55
"15",15,101.6875,3.625,2,55
"16",16,101.7,17.1,2,55
"17",17,106,3.5,2,55
"18",18,107.5,15.8823529411765,1.97058823529412,55
"19",19,107.2,20.8,2,55
"20",20,112.692307692308,3.38461538461538,2.15384615384615,55
"21",21,112,16,2,55
"22",22,112,21,2,55
"23",23,116.698113207547,17.6981132075472,2,55
"24",24,117,3.5,2,55
"25",25,122,3.04545454545455,2,55
"26",26,122.7,17.1,2,55
"27",27,128.75,3.375,2,55
"28",28,169,602,2,55
"29",29,257,602,2,55
"30",30,345,602,2,55
"31",31,423.058823529412,72,2.30588235294118,55
"32",32,432,602,2,55
"33",33,471.03239145417,67.0220537560303,2.46381805651275,55
"34",34,456.012345679012,93.0123456790123,2.37037037037037,55
"35",35,481.072727272727,115,1.85454545454545,55
"36",36,520,602,2,55
"37",37,608,602,2,55
