"","X","Centroid_1","Centroid_2","Centroid_3","Time"
"1",1,1,81,2,17
"2",2,1,169,2,17
"3",3,1,257,2,17
"4",4,1,344,2,17
"5",5,1,432,2,17
"6",6,1,520,2,17
"7",7,81,602,2,17
"8",8,83,4.5,2,17
"9",9,86.7,17.1,2,17
"10",10,89.7142857142857,3.5,2,17
"11",11,92.7692307692308,16.4615384615385,2,17
"12",12,95.6666666666667,3.5,2,17
"13",13,97,16,2,17
"14",14,97,21,2,17
"15",15,101.6875,3.625,2,17
"16",16,101.7,17.1,2,17
"17",17,106,3.5,2,17
"18",18,108.089285714286,17.6607142857143,1.98214285714286,17
"19",19,112.692307692308,3.38461538461538,2.15384615384615,17
"20",20,112,16,2,17
"21",21,112,21,2,17
"22",22,116.943396226415,17.6792452830189,2,17
"23",23,117,3.5,2,17
"24",24,122,3.04545454545455,2,17
"25",25,122.851063829787,17.7872340425532,1.97872340425532,17
"26",26,128.75,3.375,2,17
"27",27,169,602,2,17
"28",28,257,602,2,17
"29",29,270.901960784314,308.058823529412,1.76470588235294,17
"30",30,345,602,2,17
"31",31,401.666666666667,75.5714285714286,2.44642857142857,17
"32",32,417.014749262537,127.283185840708,2.44247787610619,17
"33",33,412.89156626506,95.9638554216867,2.33734939759036,17
"34",34,424.628019323671,109.408212560386,2.43478260869565,17
"35",35,423.232258064516,139.167741935484,2.47096774193548,17
"36",36,433,122,2.35365853658537,17
"37",37,434.482517482517,141.055944055944,2.42657342657343,17
"38",38,432,602,2,17
"39",39,453.386206896552,230.889655172414,2.47586206896552,17
"40",40,450.051282051282,182.974358974359,2.42307692307692,17
"41",41,520,602,2,17
"42",42,608,602,2,17
"43",43,452,191.5,2.5,17
