"","X","Centroid_1","Centroid_2","Centroid_3","Time"
"1",1,1,81,2,181
"2",2,1,169,2,181
"3",3,1,257,2,181
"4",4,1,344,2,181
"5",5,1,432,2,181
"6",6,1,520,2,181
"7",7,81,602,2,181
"8",8,83,4.5,2,181
"9",9,86.7,17.1,2,181
"10",10,89.7142857142857,3.5,2,181
"11",11,92.7692307692308,16.4615384615385,2,181
"12",12,95.6666666666667,3.5,2,181
"13",13,97,16,2,181
"14",14,97,21,2,181
"15",15,101.6875,3.625,2,181
"16",16,101.7,17.1,2,181
"17",17,107.571428571429,16.2857142857143,2,181
"18",18,106,3.5,2,181
"19",19,112.692307692308,3.38461538461538,2.15384615384615,181
"20",20,112,16,2,181
"21",21,112,21,2,181
"22",22,116.673076923077,17.7307692307692,2.01923076923077,181
"23",23,117,3.5,2,181
"24",24,122,3.04545454545455,2,181
"25",25,122.648648648649,16.5945945945946,1.97297297297297,181
"26",26,128.75,3.375,2,181
"27",27,169,602,2,181
"28",28,250.093489148581,297.195325542571,2.41736227045075,181
"29",29,257,602,2,181
"30",30,345,602,2,181
"31",31,432,602,2,181
"32",32,520,602,2,181
"33",33,608,602,2,181
