"","X","Centroid_1","Centroid_2","Centroid_3","Time"
"1",1,1,81,2,108
"2",2,1,169,2,108
"3",3,1,257,2,108
"4",4,1,344,2,108
"5",5,1,432,2,108
"6",6,1,520,2,108
"7",7,81,602,2,108
"8",8,83,4.5,2,108
"9",9,86.7,17.1,2,108
"10",10,89.7142857142857,3.5,2,108
"11",11,92.7692307692308,16.4615384615385,2,108
"12",12,95.6666666666667,3.5,2,108
"13",13,97,16,2,108
"14",14,97,21,2,108
"15",15,101.6875,3.625,2,108
"16",16,101.7,17.1,2,108
"17",17,107.272727272727,17.2727272727273,2,108
"18",18,106,3.5,2,108
"19",19,112.692307692308,3.38461538461538,2.15384615384615,108
"20",20,112,16,2,108
"21",21,112,21,2,108
"22",22,116.7,17.1,2,108
"23",23,117,3.5,2,108
"24",24,122,3.04545454545455,2,108
"25",25,123,17.5,2,108
"26",26,128.75,3.375,2,108
"27",27,169,602,2,108
"28",28,257,602,2,108
"29",29,345,602,2,108
"30",30,363.104956268222,197.90306122449,2.46501457725948,108
"31",31,379.961538461538,212.961538461538,1.78846153846154,108
"32",32,432,602,2,108
"33",33,520,602,2,108
"34",34,608,602,2,108
