"","X","Centroid_1","Centroid_2","Centroid_3","Time"
"1",1,1,81,2,143
"2",2,1,169,2,143
"3",3,1,257,2,143
"4",4,1,344,2,143
"5",5,1,432,2,143
"6",6,1,520,2,143
"7",7,81,602,2,143
"8",8,83,4.5,2,143
"9",9,86.7,17.1,2,143
"10",10,89.7142857142857,3.5,2,143
"11",11,92.7692307692308,16.4615384615385,2,143
"12",12,95.6666666666667,3.5,2,143
"13",13,97,16,2,143
"14",14,97,21,2,143
"15",15,101.6875,3.625,2,143
"16",16,101.7,17.1,2,143
"17",17,107.298507462687,17.3283582089552,1.98507462686567,143
"18",18,106,3.5,2,143
"19",19,112.692307692308,3.38461538461538,2.15384615384615,143
"20",20,112,16,2,143
"21",21,112,21,2,143
"22",22,116.942307692308,17.75,1.98076923076923,143
"23",23,117,3.5,2,143
"24",24,122,3.04545454545455,2,143
"25",25,122.71875,17.515625,1.9375,143
"26",26,128.75,3.375,2,143
"27",27,169,602,2,143
"28",28,257,602,2,143
"29",29,318.935064935065,241.051948051948,2.44155844155844,143
"30",30,330.600274725275,256.81043956044,2.41208791208791,143
"31",31,345,602,2,143
"32",32,432,602,2,143
"33",33,520,602,2,143
"34",34,608,602,2,143
