"","X","Centroid_1","Centroid_2","Centroid_3","Time"
"1",1,1,81,2,90
"2",2,1,169,2,90
"3",3,1,257,2,90
"4",4,1,344,2,90
"5",5,1,432,2,90
"6",6,1,520,2,90
"7",7,81,602,2,90
"8",8,83,4.5,2,90
"9",9,86.7,17.1,2,90
"10",10,89.7142857142857,3.5,2,90
"11",11,92.7692307692308,16.4615384615385,2,90
"12",12,95.6666666666667,3.5,2,90
"13",13,97,16,2,90
"14",14,97,21,2,90
"15",15,101.6875,3.625,2,90
"16",16,101.7,17.1,2,90
"17",17,106,3.5,2,90
"18",18,107.5,15.8823529411765,1.97058823529412,90
"19",19,107.2,20.8,2,90
"20",20,112.692307692308,3.38461538461538,2.15384615384615,90
"21",21,112,16,2,90
"22",22,112,21,2,90
"23",23,116.2,15.5,2,90
"24",24,116.2,20.8,2,90
"25",25,117,3.5,2,90
"26",26,122.069444444444,17.5833333333333,1.97222222222222,90
"27",27,122,3.04545454545455,2,90
"28",28,128.75,3.375,2,90
"29",29,169,602,2,90
"30",30,257,602,2,90
"31",31,345,602,2,90
"32",32,398.181152790485,152.548032936871,2.4391582799634,90
"33",33,432,602,2,90
"34",34,520,602,2,90
"35",35,608,602,2,90
