"","X","Centroid_1","Centroid_2","Centroid_3","Time"
"1",1,1,81,2,182
"2",2,1,169,2,182
"3",3,1,257,2,182
"4",4,1,344,2,182
"5",5,1,432,2,182
"6",6,1,520,2,182
"7",7,81,602,2,182
"8",8,83,4.5,2,182
"9",9,86.7,17.1,2,182
"10",10,89.7142857142857,3.5,2,182
"11",11,92.7692307692308,16.4615384615385,2,182
"12",12,95.6666666666667,3.5,2,182
"13",13,97,16,2,182
"14",14,97,21,2,182
"15",15,101.6875,3.625,2,182
"16",16,101.7,17.1,2,182
"17",17,107.571428571429,16.2857142857143,2,182
"18",18,106,3.5,2,182
"19",19,112.72,3.4,2.2,182
"20",20,112,16,2,182
"21",21,112,21,2,182
"22",22,116.722222222222,17.6666666666667,2,182
"23",23,117,3.5,2,182
"24",24,122,3.04545454545455,2,182
"25",25,122.666666666667,17.6190476190476,2,182
"26",26,128.75,3.375,2,182
"27",27,169,602,2,182
"28",28,248.39663093415,295.373660030628,2.41347626339969,182
"29",29,257,602,2,182
"30",30,345,602,2,182
"31",31,432,602,2,182
"32",32,520,602,2,182
"33",33,608,602,2,182
