"","X","Centroid_1","Centroid_2","Centroid_3","Time"
"1",1,1,81,2,161
"2",2,1,169,2,161
"3",3,1,257,2,161
"4",4,1,344,2,161
"5",5,1,432,2,161
"6",6,1,520,2,161
"7",7,81,602,2,161
"8",8,83,4.5,2,161
"9",9,86.7,17.1,2,161
"10",10,89.7142857142857,3.5,2,161
"11",11,92.7692307692308,16.4615384615385,2,161
"12",12,95.6666666666667,3.5,2,161
"13",13,97,16,2,161
"14",14,97,21,2,161
"15",15,101.6875,3.625,2,161
"16",16,101.7,17.1,2,161
"17",17,107.571428571429,16.2857142857143,2,161
"18",18,106,3.5,2,161
"19",19,112.692307692308,3.38461538461538,2.15384615384615,161
"20",20,112,16,2,161
"21",21,112,21,2,161
"22",22,116.5,17.5,2,161
"23",23,117,3.5,2,161
"24",24,122,3.04545454545455,2,161
"25",25,122.684210526316,16.5789473684211,1.94736842105263,161
"26",26,128.75,3.375,2,161
"27",27,169,602,2,161
"28",28,257,602,2,161
"29",29,288.599462365591,290.256720430108,2.42338709677419,161
"30",30,345,602,2,161
"31",31,432,602,2,161
"32",32,520,602,2,161
"33",33,608,602,2,161
