"","X","Centroid_1","Centroid_2","Centroid_3","Time"
"1",1,1,81,2,124
"2",2,1,169,2,124
"3",3,1,257,2,124
"4",4,1,344,2,124
"5",5,1,432,2,124
"6",6,1,520,2,124
"7",7,81,602,2,124
"8",8,83,4.5,2,124
"9",9,86.7,17.1,2,124
"10",10,89.7142857142857,3.5,2,124
"11",11,92.7692307692308,16.4615384615385,2,124
"12",12,95.6666666666667,3.5,2,124
"13",13,97,16,2,124
"14",14,97,21,2,124
"15",15,101.6875,3.625,2,124
"16",16,101.7,17.1,2,124
"17",17,107.272727272727,17.2727272727273,2,124
"18",18,106,3.5,2,124
"19",19,112.692307692308,3.38461538461538,2.15384615384615,124
"20",20,112,16,2,124
"21",21,112,21,2,124
"22",22,116.826086956522,17.7608695652174,2.02173913043478,124
"23",23,117,3.5,2,124
"24",24,122,3.04545454545455,2,124
"25",25,122.5,17.5,2,124
"26",26,128.75,3.375,2,124
"27",27,169,602,2,124
"28",28,257,602,2,124
"29",29,344.292207792208,240.961038961039,2.47077922077922,124
"30",30,345,602,2,124
"31",31,357.981481481481,238.055555555556,1.83333333333333,124
"32",32,432,602,2,124
"33",33,520,602,2,124
"34",34,608,602,2,124
