"","X","Centroid_1","Centroid_2","Centroid_3","Time"
"1",1,1,81,2,82
"2",2,1,169,2,82
"3",3,1,257,2,82
"4",4,1,344,2,82
"5",5,1,432,2,82
"6",6,1,520,2,82
"7",7,81,602,2,82
"8",8,83,4.5,2,82
"9",9,86.7,17.1,2,82
"10",10,89.7142857142857,3.5,2,82
"11",11,92.7692307692308,16.4615384615385,2,82
"12",12,95.6666666666667,3.5,2,82
"13",13,97,16,2,82
"14",14,97,21,2,82
"15",15,101.6875,3.625,2,82
"16",16,101.7,17.1,2,82
"17",17,106,3.5,2,82
"18",18,107.5,15.8823529411765,1.97058823529412,82
"19",19,107.2,20.8,2,82
"20",20,112.692307692308,3.38461538461538,2.15384615384615,82
"21",21,112,16,2,82
"22",22,112,21,2,82
"23",23,120.050847457627,17.6694915254237,2.00847457627119,82
"24",24,117,3.5,2,82
"25",25,122,3.04545454545455,2,82
"26",26,128.75,3.375,2,82
"27",27,169,602,2,82
"28",28,257,602,2,82
"29",29,345,602,2,82
"30",30,412.070707070707,126.68125701459,2.46464646464646,82
"31",31,424,123.962264150943,1.81132075471698,82
"32",32,432,602,2,82
"33",33,520,602,2,82
"34",34,608,602,2,82
