"","X","Centroid_1","Centroid_2","Centroid_3","Time"
"1",1,1,81,2,66
"2",2,1,169,2,66
"3",3,1,257,2,66
"4",4,1,344,2,66
"5",5,1,432,2,66
"6",6,1,520,2,66
"7",7,81,602,2,66
"8",8,83,4.5,2,66
"9",9,86.7,17.1,2,66
"10",10,89.7142857142857,3.5,2,66
"11",11,92.7692307692308,16.4615384615385,2,66
"12",12,95.6666666666667,3.5,2,66
"13",13,97,16,2,66
"14",14,97,21,2,66
"15",15,101.6875,3.625,2,66
"16",16,101.7,17.1,2,66
"17",17,106,3.5,2,66
"18",18,107.5,15.8823529411765,1.97058823529412,66
"19",19,107.2,20.8,2,66
"20",20,112.692307692308,3.38461538461538,2.15384615384615,66
"21",21,112,16,2,66
"22",22,112,21,2,66
"23",23,116.826086956522,17.7608695652174,2.02173913043478,66
"24",24,117,3.5,2,66
"25",25,122,3.04545454545455,2,66
"26",26,122.647058823529,17.7647058823529,2,66
"27",27,128.75,3.375,2,66
"28",28,169,602,2,66
"29",29,257,602,2,66
"30",30,345,602,2,66
"31",31,432,602,2,66
"32",32,449.644584647739,74.0294426919033,2.46372239747634,66
"33",33,467,72.1176470588235,1.76470588235294,66
"34",34,520,602,2,66
"35",35,608,602,2,66
