"","X","Centroid_1","Centroid_2","Centroid_3","Time"
"1",1,1,81,2,136
"2",2,1,169,2,136
"3",3,1,257,2,136
"4",4,1,344,2,136
"5",5,1,432,2,136
"6",6,1,520,2,136
"7",7,81,602,2,136
"8",8,83,4.5,2,136
"9",9,86.7,17.1,2,136
"10",10,89.7142857142857,3.5,2,136
"11",11,92.7692307692308,16.4615384615385,2,136
"12",12,95.6666666666667,3.5,2,136
"13",13,97,16,2,136
"14",14,97,21,2,136
"15",15,101.6875,3.625,2,136
"16",16,101.7,17.1,2,136
"17",17,107.298507462687,17.3283582089552,1.98507462686567,136
"18",18,106,3.5,2,136
"19",19,112.692307692308,3.38461538461538,2.15384615384615,136
"20",20,112,16,2,136
"21",21,112,21,2,136
"22",22,116.944444444444,17.7222222222222,2.01851851851852,136
"23",23,117,3.5,2,136
"24",24,122,3.04545454545455,2,136
"25",25,122.647058823529,17.7647058823529,2,136
"26",26,128.75,3.375,2,136
"27",27,169,602,2,136
"28",28,257,602,2,136
"29",29,330.63768115942,224.333333333333,2.45652173913043,136
"30",30,341.381493506493,262.339285714286,2.47077922077922,136
"31",31,340.974683544304,243.075949367089,2.40506329113924,136
"32",32,345,602,2,136
"33",33,351,248,1.83333333333333,136
"34",34,432,602,2,136
"35",35,520,602,2,136
"36",36,608,602,2,136
