"","X","Centroid_1","Centroid_2","Centroid_3","Time"
"1",1,1,81,2,52
"2",2,1,169,2,52
"3",3,1,257,2,52
"4",4,1,344,2,52
"5",5,1,432,2,52
"6",6,1,520,2,52
"7",7,81,602,2,52
"8",8,83,4.5,2,52
"9",9,86.7,17.1,2,52
"10",10,89.7142857142857,3.5,2,52
"11",11,92.7692307692308,16.4615384615385,2,52
"12",12,95.6666666666667,3.5,2,52
"13",13,97,16,2,52
"14",14,97,21,2,52
"15",15,101.6875,3.625,2,52
"16",16,101.7,17.1,2,52
"17",17,106,3.5,2,52
"18",18,107.5,15.8823529411765,1.97058823529412,52
"19",19,107.2,20.8,2,52
"20",20,112.692307692308,3.38461538461538,2.15384615384615,52
"21",21,112,16,2,52
"22",22,112,21,2,52
"23",23,116.7,17.1,2,52
"24",24,117,3.5,2,52
"25",25,122,3.04545454545455,2,52
"26",26,122.545454545455,17.6818181818182,2,52
"27",27,128.75,3.375,2,52
"28",28,169,602,2,52
"29",29,257,602,2,52
"30",30,345,602,2,52
"31",31,417.975609756098,73.9512195121951,2.35365853658537,52
"32",32,432,602,2,52
"33",33,456.400634249471,69.1046511627907,2.45243128964059,52
"34",34,452.981132075472,108.981132075472,2.44339622641509,52
"35",35,462.259484066768,100.52655538695,2.46130500758725,52
"36",36,469.018181818182,144.018181818182,1.85454545454545,52
"37",37,520,602,2,52
"38",38,608,602,2,52
