"","X","Centroid_1","Centroid_2","Centroid_3","Time"
"1",1,1,81,2,187
"2",2,1,169,2,187
"3",3,1,257,2,187
"4",4,1,344,2,187
"5",5,1,432,2,187
"6",6,1,520,2,187
"7",7,81,602,2,187
"8",8,83,4.5,2,187
"9",9,86.7,17.1,2,187
"10",10,89.7142857142857,3.5,2,187
"11",11,92.7692307692308,16.4615384615385,2,187
"12",12,95.6666666666667,3.5,2,187
"13",13,97,16,2,187
"14",14,97,21,2,187
"15",15,101.6875,3.625,2,187
"16",16,101.7,17.1,2,187
"17",17,107.571428571429,16.2857142857143,2,187
"18",18,106,3.5,2,187
"19",19,112.692307692308,3.38461538461538,2.15384615384615,187
"20",20,112,16,2,187
"21",21,112,21,2,187
"22",22,116.872340425532,17.7659574468085,2.04255319148936,187
"23",23,117,3.5,2,187
"24",24,122,3.04545454545455,2,187
"25",25,122.875,17.8125,2,187
"26",26,128.75,3.375,2,187
"27",27,169,602,2,187
"28",28,238.599690880989,289.982998454405,2.39876352395672,187
"29",29,257,602,2,187
"30",30,345,602,2,187
"31",31,432,602,2,187
"32",32,520,602,2,187
"33",33,608,602,2,187
"34",34,120,11,3,187
