"","X","Centroid_1","Centroid_2","Centroid_3","Time"
"1",1,1,81,2,174
"2",2,1,169,2,174
"3",3,1,257,2,174
"4",4,1,344,2,174
"5",5,1,432,2,174
"6",6,1,520,2,174
"7",7,81,602,2,174
"8",8,83,4.5,2,174
"9",9,86.7,17.1,2,174
"10",10,89.7142857142857,3.5,2,174
"11",11,92.7692307692308,16.4615384615385,2,174
"12",12,95.6666666666667,3.5,2,174
"13",13,97,16,2,174
"14",14,97,21,2,174
"15",15,101.6875,3.625,2,174
"16",16,101.7,17.1,2,174
"17",17,107.571428571429,16.2857142857143,2,174
"18",18,106,3.5,2,174
"19",19,112.692307692308,3.38461538461538,2.15384615384615,174
"20",20,112,16,2,174
"21",21,112,21,2,174
"22",22,116.722222222222,17.6666666666667,2,174
"23",23,117,3.5,2,174
"24",24,122,3.04545454545455,2,174
"25",25,122.5,17.5,2,174
"26",26,128.75,3.375,2,174
"27",27,169,602,2,174
"28",28,261.913539967374,306.190864600326,2.41272430668842,174
"29",29,257,602,2,174
"30",30,345,602,2,174
"31",31,432,602,2,174
"32",32,520,602,2,174
"33",33,608,602,2,174
