"","X","Centroid_1","Centroid_2","Centroid_3","Time"
"1",1,1,81,2,78
"2",2,1,169,2,78
"3",3,1,257,2,78
"4",4,1,344,2,78
"5",5,1,432,2,78
"6",6,1,520,2,78
"7",7,81,602,2,78
"8",8,83,4.5,2,78
"9",9,86.7,17.1,2,78
"10",10,89.7142857142857,3.5,2,78
"11",11,92.7692307692308,16.4615384615385,2,78
"12",12,95.6666666666667,3.5,2,78
"13",13,97,16,2,78
"14",14,97,21,2,78
"15",15,101.6875,3.625,2,78
"16",16,101.7,17.1,2,78
"17",17,106,3.5,2,78
"18",18,107.5,15.8823529411765,1.97058823529412,78
"19",19,107.2,20.8,2,78
"20",20,112.692307692308,3.38461538461538,2.15384615384615,78
"21",21,112,16,2,78
"22",22,112,21,2,78
"23",23,116.944444444444,17.6111111111111,2,78
"24",24,117,3.5,2,78
"25",25,122,3.04545454545455,2,78
"26",26,123.053571428571,17.6964285714286,1.98214285714286,78
"27",27,128.75,3.375,2,78
"28",28,169,602,2,78
"29",29,257,602,2,78
"30",30,345,602,2,78
"31",31,415.403100775194,116.422049956934,2.47545219638243,78
"32",32,432.037037037037,110.018518518519,1.83333333333333,78
"33",33,432,602,2,78
"34",34,520,602,2,78
"35",35,608,602,2,78
