"","X","Centroid_1","Centroid_2","Centroid_3","Time"
"1",1,1,81,2,127
"2",2,1,169,2,127
"3",3,1,257,2,127
"4",4,1,344,2,127
"5",5,1,432,2,127
"6",6,1,520,2,127
"7",7,81,602,2,127
"8",8,83,4.5,2,127
"9",9,86.7,17.1,2,127
"10",10,89.7142857142857,3.5,2,127
"11",11,92.7692307692308,16.4615384615385,2,127
"12",12,95.6666666666667,3.5,2,127
"13",13,97,16,2,127
"14",14,97,21,2,127
"15",15,101.6875,3.625,2,127
"16",16,101.7,17.1,2,127
"17",17,107.272727272727,17.2727272727273,2,127
"18",18,106,3.5,2,127
"19",19,112.692307692308,3.38461538461538,2.15384615384615,127
"20",20,112,16,2,127
"21",21,112,21,2,127
"22",22,116.872340425532,17.7659574468085,2.04255319148936,127
"23",23,117,3.5,2,127
"24",24,122,3.04545454545455,2,127
"25",25,122.875,17.8125,2,127
"26",26,128.75,3.375,2,127
"27",27,169,602,2,127
"28",28,257,602,2,127
"29",29,337.504347826087,223.666666666667,2.46086956521739,127
"30",30,347.813692480359,258.399551066218,2.46801346801347,127
"31",31,345,602,2,127
"32",32,354,234.037735849057,1.81132075471698,127
"33",33,432,602,2,127
"34",34,520,602,2,127
"35",35,608,602,2,127
"36",36,120,11,3,127
