"","X","Centroid_1","Centroid_2","Centroid_3","Time"
"1",1,1,81,2,154
"2",2,1,169,2,154
"3",3,1,257,2,154
"4",4,1,344,2,154
"5",5,1,432,2,154
"6",6,1,520,2,154
"7",7,81,602,2,154
"8",8,83,4.5,2,154
"9",9,86.7,17.1,2,154
"10",10,89.7142857142857,3.5,2,154
"11",11,92.7692307692308,16.4615384615385,2,154
"12",12,95.6666666666667,3.5,2,154
"13",13,97,16,2,154
"14",14,97,21,2,154
"15",15,101.6875,3.625,2,154
"16",16,101.7,17.1,2,154
"17",17,107.571428571429,16.2857142857143,2,154
"18",18,106,3.5,2,154
"19",19,112.72,3.4,2.2,154
"20",20,112,16,2,154
"21",21,112,21,2,154
"22",22,116.5,17.5,2,154
"23",23,117,3.5,2,154
"24",24,122,3.04545454545455,2,154
"25",25,122.5,17.5,2,154
"26",26,128.75,3.375,2,154
"27",27,169,602,2,154
"28",28,257,602,2,154
"29",29,301.102376599634,273.773308957952,2.40219378427788,154
"30",30,345,602,2,154
"31",31,432,602,2,154
"32",32,520,602,2,154
"33",33,608,602,2,154
