"","TimeStep","PreyAbundance","PredatorAbundance"
"1",1,30,10
"2",2,33,9.8
"3",3,36.366,9.6334
"4",4,40.135917756,9.5020582244
"5",5,44.3493630331276,9.40832914058724
"6",6,49.0467015938425,9.35516608814894
"7",7,54.2676415177483,9.34624782322777
"8",8,60.0491815572283,9.38613425847334
"9",9,66.4227210665982,9.48045722575726
"10",10,73.4100876210149,9.63615213035968
"11",11,81.0181974230265,9.86173529606083
"12",12,89.232036736133,10.1676285484077
"13",13,98.0056620418509,10.5665253251382
"14",14,107.2510013505,11.0737783688534
"15",15,116.824463432669,11.7077632692038
"16",16,126.511824499989,12.490128267665
"17",17,136.012700246174,13.4457707696629
"18",18,144.92728440268,14.6022778204527
"19",19,152.750056577099,15.9884324000418
"20",20,158.877728355664,17.6312447337252
"21",21,162.641152913026,19.550894608416
"22",22,163.371583099693,21.753129917589
"23",23,160.507466999533,24.2193166937194
"24",24,153.735148649756,26.8957320340018
"25",25,143.133984756794,29.685764794593
"26",26,129.270363652123,32.4505183604664
"27",27,113.175533290973,35.0228827516005
"28",28,96.1733056211719,37.2354720468201
"29",29,79.597382414332,38.9547568775865
"30",30,64.5098920967726,40.1077157137498
"31",31,51.5384263867068,40.6896743410043
"32",32,40.8752938068189,40.752272409677
"33",33,32.392741487772,40.3804198972342
"34",34,25.7909647563385,39.6694314052713
"35",35,20.7180286348328,38.7090727422851
"36",36,16.8418775867745,37.5755947826733
"37",37,13.8818174283291,36.3296586111197
"38",38,11.614964033264,35.0174973686368
"39",39,9.87068711520051,33.6733494726766
"40",40,8.52103357058468,32.3220610958083
"41",41,7.4710666080229,30.9813754086858
"42",42,6.65064073676294,29.663770557538
"43",43,6.00793807535601,28.377865110537
"44",44,5.50460112747809,27.1294643113051
"45",45,5.11215255461485,25.9223279755757
"46",46,4.80939411371878,24.7587304719788
"47",47,4.58052801051169,23.639868440975
"48",48,4.41380281702706,22.5661580984849
"49",49,4.30053765858676,21.5374527657452
"50",50,4.2344189234129,20.5532027541471
"51",51,4.21099400130646,19.6125734871186
"52",52,4.22730850852336,18.7145332420672
"53",53,4.2816491541557,17.857918685571
"54",54,4.37336556063627,17.0414840937275
"55",55,4.50275227638714,16.2639385286788
"56",56,4.67097786933427,15.5239740884779
"57",57,4.88005204908714,14.8202875234654
"58",58,5.13282471393509,14.1515969217891
"59",59,5.43301299250404,13.5166547421214
"60",60,5.78525398271348,12.9142581658445
"61",61,6.19518214437876,12.34325752104
"62",62,6.66953128727635,11.8025633735858
"63",63,7.21626188782969,11.2911527705967
"64",64,7.84471511131444,10.808075047475
"65",65,8.56579543708585,10.3524575647504
"66",66,9.39218418679538,9.92351172028364
"67",67,10.3385865255872,9.52053958412619
"68",68,11.422014608097,9.14294152718064
"69",69,12.662109412872,8.79022526250605
"70",70,14.08150335507,8.46201679341839
"71",71,15.7062248474122,8.15807387161465
"72",72,17.5661443914008,7.87830272058329
"73",73,19.6954592381917,7.62277898770306
"74",74,22.1332097574895,7.39177417115196
"75",75,24.9238148268864,7.18578915080446
"76",76,28.1176050104667,7.00559697144394
"77",77,31.7713199275043,6.85229773137732
"78",78,35.9485184783841,6.72738938827056
"79",79,40.7198253567056,6.63285960059256
"80",80,46.16290158253,6.57130550511461
"81",81,52.3619766060226,6.54609075916022
"82",82,59.4067094153066,6.56155247239426
"83",83,67.3900488879598,6.62327508981536
"84",84,76.4046303445411,6.73845416742565
"85",85,86.5370654158914,6.91638055881016
"86",86,97.8592457304801,7.16908480772861
"87",87,110.415482557955,7.51219179920434
"88",88,124.203956243775,7.96604449182118
"89",89,139.150605077549,8.55715650872824
"90",90,155.07339103373,9.32003218922465
"91",91,171.63517927921,10.29931957589
"92",92,188.284959516435,11.5520791589573
"93",93,204.191123851973,13.1495579577843
"94",94,218.179118446801,15.1771030774517
"95",95,228.701672436014,17.7295748935938
"96",96,233.894172625773,20.8978795786586
"97",97,231.794084614093,24.740877853409
"98",98,220.805010191112,29.2386230953186
"99",99,200.405667523975,34.2327264110886
"100",100,171.882477152972,39.381522478114
"101",101,138.569036207629,44.1814399918019
"102",102,105.061047869863,48.094547550141
"103",103,75.5446218193881,50.7426837350788
"104",104,52.3201776545923,52.0388864011922
"105",105,35.5573753709355,52.1596258625901
"106",106,24.1222564850859,51.4063039654643
"107",107,16.5463472900509,50.0760248163963
"108",108,11.5698637728881,48.4007988730937
"109",109,8.28393003285921,46.5407495788997
"110",110,6.08531290754678,44.5992524131432
"111",111,4.58837142528977,42.6406901988626
"112",112,3.54953246571678,40.7043070133826
"113",113,2.81462636647508,38.813572921952
"114",114,2.28509458253781,36.9821399815776
"115",115,1.89703662181979,35.2175406702213
"116",116,1.60835430236537,33.5234726010921
"117",117,1.39084894895651,31.9012165924256
"118",118,1.22532100306772,30.3505255363724
"119",119,1.09849383974266,28.8701883959476
"120",120,1.00105536663961,27.4583927002554
"121",121,0.926392726248643,26.1129604366145
"122",122,0.869762705405389,24.8315032713931
"123",123,0.82774009184037,23.611525623288
"124",124,0.797846046329327,22.4504935485115
"125",125,0.778294880436973,21.3458809086018
"126",126,0.767819958228546,20.2952002530013
"127",127,0.765553351769261,19.2960233001617
"128",128,0.770942668990548,18.3459942704669
"129",129,0.783694104907067,17.4428382667317
"130",130,0.80373443066363,16.5843662029176
"131",131,0.831187055516165,15.7684773188997
"132",132,0.866358924292701,14.9931600071874
"133",133,0.909736129395488,14.2564914648036
"134",134,0.961986901635083,13.5566365369274
"135",135,1.02397121417458,12.8918460168598
"136",136,1.09675666482114,12.2604545952356
