"","Centroid_1","Centroid_2","Centroid_3"
"1",1,81,2
"2",1,169,2
"3",1,257,2
"4",1,344,2
"5",1,432,2
"6",1,520,2
"7",81,602,2
"8",83,4.5,2
"9",86.7,17.1,2
"10",89.7142857142857,3.5,2
"11",92.7692307692308,16.4615384615385,2
"12",95.6666666666667,3.5,2
"13",97,16,2
"14",97,21,2
"15",101.6875,3.625,2
"16",101.7,17.1,2
"17",106,3.5,2
"18",108.089285714286,17.6607142857143,1.98214285714286
"19",112.692307692308,3.38461538461538,2.15384615384615
"20",112,16,2
"21",112,21,2
"22",116.826086956522,17.7608695652174,2.02173913043478
"23",117,3.5,2
"24",122,3.04545454545455,2
"25",122.5,17.5,2
"26",128.75,3.375,2
"27",169,602,2
"28",249.055555555556,309.981481481481,1.83333333333333
"29",257,602,2
"30",345,602,2
"31",401.890410958904,75.5205479452055,2.47945205479452
"32",406,101.819277108434,2.33734939759036
"33",410,125.060975609756,2.35365853658537
"34",419.339253996448,135.470692717584,2.46536412078153
"35",415.074074074074,109.925925925926,2.37037037037037
"36",431.549586776859,119.355371900826,2.43801652892562
"37",433.956896551724,142.112068965517,2.42241379310345
"38",432,602,2
"39",452.928961748634,232.319672131148,2.45081967213115
"40",453.935185185185,211.546296296296,2.44444444444444
"41",452.038961038961,201.077922077922,2.44155844155844
"42",520,602,2
"43",608,602,2
