"","Centroid_1","Centroid_2","Centroid_3"
"1",1,81,2
"2",1,169,2
"3",1,257,2
"4",1,344,2
"5",1,432,2
"6",1,520,2
"7",81,602,2
"8",83,4.5,2
"9",86.7,17.1,2
"10",89.7142857142857,3.5,2
"11",92.7692307692308,16.4615384615385,2
"12",95.6666666666667,3.5,2
"13",97,16,2
"14",97,21,2
"15",101.6875,3.625,2
"16",101.7,17.1,2
"17",106,3.5,2
"18",107.5,15.8823529411765,1.97058823529412
"19",107.2,20.8,2
"20",112.692307692308,3.38461538461538,2.15384615384615
"21",112,16,2
"22",112,21,2
"23",116.7,17.1,2
"24",117,3.5,2
"25",122,3.04545454545455,2
"26",122.7,17.1,2
"27",128.75,3.375,2
"28",169,602,2
"29",257,602,2
"30",345,602,2
"31",408.770883054893,81.4295942720764,2.46778042959427
"32",420.857142857143,95.9624060150376,2.42105263157895
"33",430.593917710197,116.477638640429,2.44901610017889
"34",432,602,2
"35",438.940476190476,111.059523809524,2.32142857142857
"36",438.981818181818,229.981818181818,1.85454545454545
"37",446.014084507042,135.823943661972,2.37323943661972
"38",449.751219512195,187.743089430894,2.46829268292683
"39",446.012658227848,155.962025316456,2.40506329113924
"40",455.974025974026,147,2.44155844155844
"41",520,602,2
"42",608,602,2
