"","Centroid_1","Centroid_2","Centroid_3"
"1",1,81,2
"2",1,169,2
"3",1,257,2
"4",1,344,2
"5",1,432,2
"6",1,520,2
"7",81,602,2
"8",83,4.5,2
"9",86.7,17.1,2
"10",89.7142857142857,3.5,2
"11",92.7692307692308,16.4615384615385,2
"12",95.6666666666667,3.5,2
"13",97,16,2
"14",97,21,2
"15",101.6875,3.625,2
"16",101.7,17.1,2
"17",106,3.5,2
"18",108.089285714286,17.6607142857143,1.98214285714286
"19",112.692307692308,3.38461538461538,2.15384615384615
"20",112,16,2
"21",112,21,2
"22",116.943396226415,17.6792452830189,2
"23",117,3.5,2
"24",122,3.04545454545455,2
"25",122.647058823529,17.7647058823529,2
"26",128.75,3.375,2
"27",169,602,2
"28",257,602,2
"29",272,308,1.83333333333333
"30",345,602,2
"31",401.732240437158,76.1311475409836,2.44262295081967
"32",416.810650887574,127.479289940828,2.44674556213018
"33",412.873417721519,98.0759493670886,2.40506329113924
"34",425.289719626168,110.848130841121,2.43691588785047
"35",423.232258064516,139.167741935484,2.47096774193548
"36",433.025316455696,122.075949367089,2.40506329113924
"37",433.968992248062,141.441860465116,2.3953488372093
"38",432,602,2
"39",453.321596244131,231.19014084507,2.46478873239437
"40",451.371134020619,193.443298969072,2.42268041237113
"41",451.038961038961,184.064935064935,2.44155844155844
"42",520,602,2
"43",608,602,2
