"","Centroid_1","Centroid_2","Centroid_3"
"1",1,81,2
"2",1,169,2
"3",1,257,2
"4",1,344,2
"5",1,432,2
"6",1,520,2
"7",81,602,2
"8",83,4.5,2
"9",86.7,17.1,2
"10",89.7142857142857,3.5,2
"11",92.7692307692308,16.4615384615385,2
"12",95.6666666666667,3.5,2
"13",97,16,2
"14",97,21,2
"15",101.6875,3.625,2
"16",101.7,17.1,2
"17",106,3.5,2
"18",107.5,15.8823529411765,1.97058823529412
"19",107.2,20.8,2
"20",112.692307692308,3.38461538461538,2.15384615384615
"21",112,16,2
"22",112,21,2
"23",116.7,17.1,2
"24",117,3.5,2
"25",122,3.04545454545455,2
"26",123,17.5,2
"27",128.75,3.375,2
"28",169,602,2
"29",257,602,2
"30",345,602,2
"31",405.914634146341,75.9756097560976,2.35365853658537
"32",433.950062421973,92.1298377028714,2.46816479400749
"33",432,602,2
"34",432.090909090909,112.948051948052,2.44155844155844
"35",448.528265107212,147.685185185185,2.45906432748538
"36",449.980769230769,194.076923076923,1.78846153846154
"37",452.038709677419,110.593548387097,2.43225806451613
"38",451.560283687943,89.0567375886525,2.4468085106383
"39",520,602,2
"40",608,602,2
