"","Centroid_1","Centroid_2","Centroid_3"
"1",1,81,2
"2",1,169,2
"3",1,257,2
"4",1,344,2
"5",1,432,2
"6",1,520,2
"7",81,602,2
"8",83,4.5,2
"9",86.7,17.1,2
"10",89.7142857142857,3.5,2
"11",92.7692307692308,16.4615384615385,2
"12",95.6666666666667,3.5,2
"13",97,16,2
"14",97,21,2
"15",101.6875,3.625,2
"16",101.7,17.1,2
"17",106,3.5,2
"18",108.089285714286,17.6607142857143,1.98214285714286
"19",112.72,3.4,2.2
"20",112,16,2
"21",112,21,2
"22",116.722222222222,17.6666666666667,2
"23",117,3.5,2
"24",122,3.04545454545455,2
"25",122.666666666667,17.6190476190476,2
"26",128.75,3.375,2
"27",169,602,2
"28",247.981132075472,310.962264150943,1.81132075471698
"29",257,602,2
"30",345,602,2
"31",401.614942528736,76.2413793103448,2.43103448275862
"32",406.977011494253,104.068965517241,2.27586206896552
"33",410,125.060975609756,2.35365853658537
"34",419.393238434164,135.5871886121,2.47330960854093
"35",415.036585365854,109.987804878049,2.35365853658537
"36",431.854330708661,119.779527559055,2.44094488188976
"37",433.956896551724,142.112068965517,2.42241379310345
"38",432,602,2
"39",452.532981530343,232.45382585752,2.46437994722955
"40",452.975903614458,204.012048192771,2.33734939759036
"41",454.491228070175,214.973684210526,2.36842105263158
"42",520,602,2
"43",608,602,2
