"","Centroid_1","Centroid_2","Centroid_3"
"1",1,81,2
"2",1,169,2
"3",1,257,2
"4",1,344,2
"5",1,432,2
"6",1,520,2
"7",81,602,2
"8",83,4.5,2
"9",86.7,17.1,2
"10",89.7142857142857,3.5,2
"11",92.7692307692308,16.4615384615385,2
"12",95.6666666666667,3.5,2
"13",97,16,2
"14",97,21,2
"15",101.6875,3.625,2
"16",101.7,17.1,2
"17",106,3.5,2
"18",108.089285714286,17.6607142857143,1.98214285714286
"19",112.692307692308,3.38461538461538,2.15384615384615
"20",112,16,2
"21",112,21,2
"22",116.8,17.7333333333333,2
"23",117,3.5,2
"24",122,3.04545454545455,2
"25",122.583333333333,16.6666666666667,2
"26",128.75,3.375,2
"27",169,602,2
"28",257,602,2
"29",261.962264150943,304,1.81132075471698
"30",345,602,2
"31",401.87898089172,75.1910828025478,2.47133757961783
"32",404.075,88.0125,2.3875
"33",423.211517165006,125.52380952381,2.45182724252492
"34",414.086419753086,105.975308641975,2.37037037037037
"35",433.956896551724,142.112068965517,2.42241379310345
"36",432,602,2
"37",453.160401002506,232.298245614035,2.46616541353383
"38",450.9,191.0375,2.3875
"39",451.973214285714,200.5,2.39285714285714
"40",520,602,2
"41",608,602,2
