Centroid_1,Centroid_2,Centroid_3
1,81,2
1,169,2
1,257,2
1,344,2
1,432,2
1,520,2
81,602,2
83,4.5,2
86.7,17.1,2
89.7142857142857,3.5,2
92.7692307692308,16.4615384615385,2
95.6666666666667,3.5,2
97,16,2
97,21,2
101.6875,3.625,2
101.7,17.1,2
106,3.5,2
108.089285714286,17.6607142857143,1.98214285714286
112.692307692308,3.38461538461538,2.15384615384615
112,16,2
112,21,2
120.024,17.576,2.008
117,3.5,2
122,3.04545454545455,2
128.75,3.375,2
169,602,2
257,602,2
263.035714285714,300,1.875
345,602,2
401.982352941176,75.0705882352941,2.42941176470588
417.185328185328,125.965250965251,2.45945945945946
411.974358974359,91.0512820512821,2.42307692307692
423.934640522876,104.78431372549,2.42156862745098
418.050632911392,113.962025316456,2.40506329113924
420.790697674419,136.632558139535,2.45116279069767
432.892857142857,121.940476190476,2.32142857142857
434.888888888889,140.59477124183,2.45098039215686
432,602,2
450.729591836735,185.15306122449,2.39285714285714
453.974683544304,217.126582278481,2.40506329113924
453.340050377834,231.413098236776,2.46599496221662
520,602,2
608,602,2
