Centroid_1,Centroid_2,Centroid_3
1,81,2
1,169,2
1,257,2
1,344,2
1,432,2
1,520,2
81,602,2
83,4.5,2
86.7,17.1,2
89.7142857142857,3.5,2
92.7692307692308,16.4615384615385,2
95.6666666666667,3.5,2
97,16,2
97,21,2
101.6875,3.625,2
101.7,17.1,2
106,3.5,2
107.5,15.8823529411765,1.97058823529412
107.2,20.8,2
112.692307692308,3.38461538461538,2.15384615384615
112,16,2
112,21,2
116.7,17.1,2
117,3.5,2
122,3.04545454545455,2
122.6,17.7,1.98
128.75,3.375,2
169,602,2
257,602,2
345,602,2
404.038461538462,73.1153846153846,2.42307692307692
414.787128712871,85.8316831683168,2.46287128712871
432.35071942446,105.769784172662,2.47302158273381
433.975609756098,127.5,2.35365853658537
432,602,2
446.544827586207,146.013793103448,2.44827586206897
448.125200642055,173.857142857143,2.46388443017657
443.944444444444,220.018518518519,1.83333333333333
447.406504065041,128.406504065041,2.41463414634146
456.059523809524,134.964285714286,2.32142857142857
520,602,2
608,602,2
