Centroid_1,Centroid_2,Centroid_3
1,81,2
1,169,2
1,257,2
1,344,2
1,432,2
1,520,2
81,602,2
83,4.5,2
86.7,17.1,2
89.7142857142857,3.5,2
92.7692307692308,16.4615384615385,2
95.6666666666667,3.5,2
97,16,2
97,21,2
101.6875,3.625,2
101.7,17.1,2
107.272727272727,17.2727272727273,2
106,3.5,2
112.692307692308,3.38461538461538,2.15384615384615
112,16,2
112,21,2
116.826086956522,17.7608695652174,2.02173913043478
117,3.5,2
122,3.04545454545455,2
122.808823529412,17.5882352941176,1.94117647058824
128.75,3.375,2
169,602,2
257,602,2
331.942446043165,224.812949640288,2.46762589928058
344.258928571429,261.073979591837,2.46173469387755
345,602,2
353.944444444444,249.018518518519,1.83333333333333
432,602,2
520,602,2
608,602,2
