Centroid_1,Centroid_2,Centroid_3
1,81,2
1,169,2
1,257,2
1,344,2
1,432,2
1,520,2
81,602,2
83,4.5,2
86.7,17.1,2
89.7142857142857,3.5,2
92.7692307692308,16.4615384615385,2
95.6666666666667,3.5,2
97,16,2
97,21,2
101.6875,3.625,2
101.7,17.1,2
106,3.5,2
107.5,15.8823529411765,1.97058823529412
107.2,20.8,2
112.692307692308,3.38461538461538,2.15384615384615
112,16,2
112,21,2
116.5,17.5,2
117,3.5,2
122,3.04545454545455,2
122.734375,17.453125,1.984375
128.75,3.375,2
169,602,2
257,602,2
345,602,2
403.892255892256,78.7138047138047,2.46464646464646
421.013888888889,123.868055555556,2.45833333333333
418.082706766917,91.8646616541353,2.42105263157895
420.950617283951,108.925925925926,2.37037037037037
422.981818181818,245.981818181818,1.85454545454545
428.921052631579,97.9868421052632,2.46052631578947
431.498054474708,136.221789883268,2.43579766536965
432,602,2
434,120.04,2.48
444.267045454545,158.159090909091,2.46590909090909
453.051418439716,210.441489361702,2.45744680851064
453.987804878049,234,2.35365853658537
448.116279069767,180,2.46511627906977
520,602,2
608,602,2
