Centroid_1,Centroid_2,Centroid_3
1,81,2
1,169,2
1,257,2
1,344,2
1,432,2
1,520,2
81,602,2
83,4.5,2
86.7,17.1,2
89.7142857142857,3.5,2
92.7692307692308,16.4615384615385,2
95.6666666666667,3.5,2
97,16,2
97,21,2
101.6875,3.625,2
101.7,17.1,2
106,3.5,2
108.089285714286,17.6607142857143,1.98214285714286
112.692307692308,3.38461538461538,2.15384615384615
112,16,2
112,21,2
116.8,17.7333333333333,2
117,3.5,2
122,3.04545454545455,2
122.583333333333,16.6666666666667,2
128.75,3.375,2
169,602,2
257,602,2
261.962264150943,304,1.81132075471698
345,602,2
401.87898089172,75.1910828025478,2.47133757961783
404.075,88.0125,2.3875
423.211517165006,125.52380952381,2.45182724252492
414.086419753086,105.975308641975,2.37037037037037
433.956896551724,142.112068965517,2.42241379310345
432,602,2
453.160401002506,232.298245614035,2.46616541353383
450.9,191.0375,2.3875
451.973214285714,200.5,2.39285714285714
520,602,2
608,602,2
