Centroid_1,Centroid_2,Centroid_3
1,81,2
1,169,2
1,257,2
1,344,2
1,432,2
1,520,2
81,602,2
83,4.5,2
86.7,17.1,2
89.7142857142857,3.5,2
92.7692307692308,16.4615384615385,2
95.6666666666667,3.5,2
97,16,2
97,21,2
104.323529411765,17.5882352941176,2
101.6875,3.625,2
106,3.5,2
112.692307692308,3.38461538461538,2.15384615384615
112,16,2
112,21,2
116.944444444444,17.6111111111111,2
117,3.5,2
122,3.04545454545455,2
122.648648648649,16.5945945945946,1.97297297297297
128.75,3.375,2
169,602,2
257,602,2
345,602,2
432,602,2
520,602,2
581.018181818182,238.981818181818,1.85454545454545
608,602,2
639.200387221684,177.135527589545,2.46950629235237
632.9125,209.0625,2.3875
642.692592592593,203.4,2.46666666666667
656.9875,212.9375,2.3875
656.078947368421,227.013157894737,2.46052631578947
