Centroid_1,Centroid_2,Centroid_3
1,81,2
1,169,2
1,257,2
1,344,2
1,432,2
1,520,2
81,602,2
83,4.5,2
86.7,17.1,2
89.7142857142857,3.5,2
92.7692307692308,16.4615384615385,2
95.6666666666667,3.5,2
97,16,2
97,21,2
104.323529411765,17.5882352941176,2
101.6875,3.625,2
106,3.5,2
112.692307692308,3.38461538461538,2.15384615384615
112,16,2
112,21,2
116.647058823529,17.7647058823529,2
117,3.5,2
122,3.04545454545455,2
122.8,17.7333333333333,2
128.75,3.375,2
169,602,2
257,602,2
345,602,2
433.960784313725,211,1.76470588235294
432,602,2
520,602,2
608,602,2
620.03164556962,178.417721518987,2.40506329113924
634.968406593407,168.032967032967,2.46703296703297
626.948717948718,185.064102564103,2.42307692307692
631,261.819277108434,2.33734939759036
639.048275862069,301.220689655172,2.38620689655172
647.673306772908,195.177290836653,2.45816733067729
641,277.012195121951,2.35365853658537
647.0125,283,2.3875
649.02752293578,318.128440366972,2.40366972477064
659.935742971888,213.839357429719,2.42168674698795
662.028037383178,245.981308411215,2.42990654205607
