Centroid_1,Centroid_2,Centroid_3
1,81,2
1,169,2
1,257,2
1,344,2
1,432,2
1,520,2
81,602,2
83,4.5,2
86.7,17.1,2
89.7142857142857,3.5,2
92.7692307692308,16.4615384615385,2
95.6666666666667,3.5,2
97,16,2
97,21,2
104.323529411765,17.5882352941176,2
101.6875,3.625,2
106,3.5,2
112.692307692308,3.38461538461538,2.15384615384615
112,16,2
112,21,2
116.722222222222,17.6666666666667,2
117,3.5,2
122,3.04545454545455,2
122.714285714286,17.4761904761905,2
128.75,3.375,2
169,602,2
257,602,2
345,602,2
432,602,2
469.964285714286,220,1.875
520,602,2
608,602,2
620.025316455696,178.411392405063,2.40506329113924
634.7023977433,167.904090267983,2.46403385049365
626.948717948718,185.064102564103,2.42307692307692
630.97619047619,261.059523809524,2.32142857142857
638.024096385542,301.39156626506,2.40963855421687
647.032374100719,196.708633093525,2.46762589928058
641.024390243902,277.036585365854,2.35365853658537
643.978723404255,185.404255319149,2.38297872340426
644.101265822785,284.987341772152,2.40506329113924
649.02752293578,318.128440366972,2.40366972477064
660.304668304668,210.127764127764,2.42997542997543
661.545454545455,245.942148760331,2.43801652892562
