Centroid_1,Centroid_2,Centroid_3
1,81,2
1,169,2
1,257,2
1,344,2
1,432,2
1,520,2
81,602,2
83,4.5,2
86.7,17.1,2
89.7142857142857,3.5,2
92.7692307692308,16.4615384615385,2
95.6666666666667,3.5,2
97,16,2
97,21,2
101.5,17.6111111111111,2
101.6875,3.625,2
106,3.5,2
107.8,17.7333333333333,2
112.692307692308,3.38461538461538,2.15384615384615
112,16,2
112,21,2
119.611111111111,17.6388888888889,2
117,3.5,2
122,3.04545454545455,2
128.75,3.375,2
169,602,2
257,602,2
345,602,2
432,602,2
482.946167883212,35.0985401459854,2.48083941605839
492.148148148148,16.0123456790123,2.37037037037037
495.117647058824,28,1.76470588235294
520,602,2
608,602,2
